Timestamp(s),Cart_Position_X,Pendulum_Angle_Rad,Pendulum_Angle_Deg,Velocity_dX_dT,AngVelocity_dTheta_dT,Action_Type,Force_Applied_N,Gravity_Setting,Force_Applied
28.6,1.0466,-5.0073,-286.9,-4.3537,-3.0831,USER_LEFT_ACCUM,-17.8,9.81,-17.75
28.65,0.8194,-5.1469,-294.89,-4.6337,-2.5755,USER_LEFT_ACCUM,-18.4,9.81,-18.5
28.7,0.5773,-5.2604,-301.4,-4.9393,-2.0504,USER_LEFT_ACCUM,-19,9.81,-19
28.75,0.3464,-5.3578,-306.98,-4.3697,-1.8651,USER_RIGHT_ACCUM,19.6,9.81,19.5
28.8,0.144,-5.4477,-312.13,-3.802,-1.7368,USER_RIGHT_ACCUM,20.2,9.81,20.25
28.85,-0.0299,-5.5327,-317,-3.2344,-1.6632,USER_RIGHT_ACCUM,20.8,9.81,20.75
28.9,-0.1752,-5.6157,-321.76,-2.6655,-1.6431,USER_RIGHT_ACCUM,21.4,9.81,21.5
28.95,-0.2919,-5.6993,-326.54,-2.0941,-1.6758,USER_RIGHT_ACCUM,22,9.81,22
29,-0.3797,-5.7861,-331.52,-1.5194,-1.7617,USER_RIGHT_ACCUM,22.6,9.81,22.5
29.05,-0.4386,-5.8788,-336.83,-0.9406,-1.902,USER_RIGHT_ACCUM,23.2,9.81,23.25
29.1,-0.4682,-5.9804,-342.65,-0.3572,-2.0986,USER_RIGHT_ACCUM,23.8,9.81,23.75
29.15,-0.4684,-6.0935,-349.13,0.231,-2.3533,USER_RIGHT_ACCUM,24.4,9.81,24.5
29.2,-0.4388,-6.2213,-356.45,0.8235,-2.6673,USER_RIGHT_ACCUM,25,9.81,25
29.25,-0.3795,-6.3666,-364.78,1.4182,-3.0393,USER_RIGHT_ACCUM,25.6,9.81,25.5
29.3,-0.2903,-6.5321,-374.26,2.0111,-3.4636,USER_RIGHT_ACCUM,26.2,9.81,26.25
29.35,-0.1715,-6.7202,-385.04,2.595,-3.9279,USER_RIGHT_ACCUM,26.8,9.81,26.75
29.4,-0.024,-6.9323,-397.19,3.1598,-4.4115,USER_RIGHT_ACCUM,27.4,9.81,27.5
29.45,0.151,-7.1684,-410.72,3.6934,-4.8868,USER_RIGHT_ACCUM,28,9.81,28
29.5,0.3515,-7.4272,-425.55,4.1855,-5.3235,USER_RIGHT_ACCUM,28.6,9.81,28.5
29.55,0.5754,-7.7059,-441.51,4.6323,-5.6925,USER_RIGHT_ACCUM,29.2,9.81,29.25
29.6,0.8206,-8.0003,-458.38,5.0412,-5.968,USER_RIGHT_ACCUM,29.8,9.81,29.75
29.65,1.0858,-8.3048,-475.83,5.432,-6.1224,USER_RIGHT_ACCUM,30.4,9.81,30.5
29.7,1.371,-8.6125,-493.46,5.8345,-6.1216,USER_RIGHT_ACCUM,31,9.81,31
29.75,1.6776,-8.9142,-510.75,6.2815,-5.928,USER_RIGHT_ACCUM,31.6,9.81,31.5
29.8,2.0088,-9.1998,-527.11,6.7949,-5.5207,USER_RIGHT_ACCUM,32.2,9.81,32.25
29.85,2.3677,-3.1759,-181.96,7.3745,-4.9182,USER_RIGHT_ACCUM,32.8,9.81,32.75
29.9,2.7572,-3.4007,-194.84,7.9991,-4.179,USER_RIGHT_ACCUM,33.4,9.81,33.5
29.95,3.125,-3.5863,-205.48,0,-3.3738,USER_RIGHT_ACCUM,34,9.81,34
30,3.125,-3.7311,-213.77,0,-2.557,USER_RIGHT_ACCUM,34.6,9.81,34.5
30.05,3.125,-3.851,-220.64,0,-2.2726,NONE,0,9.81,0
30.1,3.125,-3.9558,-226.65,0,-1.9627,NONE,0,9.81,0
30.15,3.125,-4.0445,-231.73,0,-1.636,NONE,0,9.81,0
30.2,3.125,-4.1165,-235.86,0,-1.2996,NONE,0,9.81,0
30.25,3.125,-4.1715,-239.01,0,-0.9587,NONE,0,9.81,0
30.3,3.125,-4.2094,-241.18,0,-0.6176,NONE,0,9.81,0
30.35,3.125,-4.2302,-242.37,0,-0.2793,NONE,0,9.81,0
30.4,3.1223,-4.2352,-242.66,-0.0907,0.0171,USER_LEFT_ACCUM,-4.6,9.81,-4.5
30.45,3.1146,-4.2257,-242.12,-0.1928,0.3027,USER_LEFT_ACCUM,-5.2,9.81,-5.25
30.5,3.1015,-4.2023,-240.77,-0.3053,0.5744,USER_LEFT_ACCUM,-5.8,9.81,-5.75
30.55,3.0825,-4.1657,-238.68,-0.4273,0.829,USER_LEFT_ACCUM,-6.4,9.81,-6.5
30.6,3.057,-4.117,-235.89,-0.5581,1.0629,USER_LEFT_ACCUM,-7,9.81,-7
30.65,3.0248,-4.0573,-232.46,-0.6976,1.2722,USER_LEFT_ACCUM,-7.6,9.81,-7.5
30.7,2.9852,-3.9879,-228.49,-0.8457,1.4525,USER_LEFT_ACCUM,-8.2,9.81,-8.25
30.75,2.938,-3.9105,-224.05,-1.0031,1.5993,USER_LEFT_ACCUM,-8.8,9.81,-8.75
30.8,2.8825,-3.8268,-219.26,-1.1707,1.708,USER_LEFT_ACCUM,-9.4,9.81,-9.5
30.85,2.8182,-3.739,-214.23,-1.3494,1.7744,USER_LEFT_ACCUM,-10,9.81,-10
30.9,2.7447,-3.6492,-209.08,-1.5404,1.7952,USER_LEFT_ACCUM,-10.6,9.81,-10.5
30.95,2.6611,-3.5598,-203.96,-1.7448,1.768,USER_LEFT_ACCUM,-11.2,9.81,-11.25
31,2.5668,-3.4732,-199,-1.9629,1.6923,USER_LEFT_ACCUM,-11.8,9.81,-11.75
31.05,2.4611,-3.3919,-194.34,-2.195,1.5694,USER_LEFT_ACCUM,-12.4,9.81,-12.5
31.1,2.3434,-3.3181,-190.11,-2.4405,1.4024,USER_LEFT_ACCUM,-13,9.81,-13
31.15,2.213,-3.2539,-186.43,-2.6986,1.1962,USER_LEFT_ACCUM,-13.6,9.81,-13.5
31.2,2.0692,-3.201,-183.4,-2.968,0.9566,USER_LEFT_ACCUM,-14.2,9.81,-14.25
31.25,1.9116,-3.161,-181.11,-3.2478,0.69,USER_LEFT_ACCUM,-14.8,9.81,-14.75
31.3,1.7396,-3.135,-179.62,-3.5367,0.403,USER_LEFT_ACCUM,-15.4,9.81,-15.5
31.35,1.5529,-3.1239,-178.98,-3.8338,0.1022,USER_LEFT_ACCUM,-16,9.81,-16
31.4,1.3511,-3.1281,-179.22,-4.1384,-0.2063,USER_LEFT_ACCUM,-16.6,9.81,-16.5
31.45,1.1337,-3.1478,-180.36,-4.4497,-0.5164,USER_LEFT_ACCUM,-17.2,9.81,-17.25
31.5,0.9005,-3.183,-182.37,-4.767,-0.8219,USER_LEFT_ACCUM,-17.8,9.81,-17.75
31.55,0.6512,-3.2332,-185.25,-5.0894,-1.1166,USER_LEFT_ACCUM,-18.4,9.81,-18.5
31.6,0.3856,-3.2977,-188.94,-5.4158,-1.3936,USER_LEFT_ACCUM,-19,9.81,-19
31.65,0.1035,-3.3754,-193.39,-5.7447,-1.6458,USER_LEFT_ACCUM,-19.6,9.81,-19.5
31.7,-0.1952,-3.4647,-198.51,-6.0747,-1.8656,USER_LEFT_ACCUM,-20.2,9.81,-20.25
31.75,-0.5104,-3.5639,-204.2,-6.4042,-2.0456,USER_LEFT_ACCUM,-20.8,9.81,-20.75
31.8,-0.8422,-3.6708,-210.32,-6.732,-2.1791,USER_LEFT_ACCUM,-21.4,9.81,-21.5
31.85,-1.1903,-3.7827,-216.74,-7.0575,-2.2609,USER_LEFT_ACCUM,-22,9.81,-22
31.9,-1.5548,-3.8972,-223.29,-7.381,-2.2876,USER_LEFT_ACCUM,-22.6,9.81,-22.5
31.95,-1.9191,-4.0024,-229.32,-7.1664,-1.9651,NONE,0,9.81,0
32,-2.273,-4.0909,-234.39,-6.9605,-1.6277,NONE,0,9.81,0
32.05,-2.6168,-4.1622,-238.48,-6.764,-1.2822,NONE,0,9.81,0
32.1,-2.9511,-4.2161,-241.56,-6.5765,-0.9336,NONE,0,9.81,0
32.15,-3.1249,-4.2525,-243.65,0.0064,-0.5859,NONE,0,9.81,0
32.2,-3.121,-4.2705,-244.68,0.1247,-0.2073,USER_RIGHT_ACCUM,4.6,9.81,4.5
32.25,-3.1109,-4.2696,-244.63,0.2525,0.1674,USER_RIGHT_ACCUM,5.2,9.81,5.25
32.3,-3.094,-4.25,-243.5,0.3911,0.5373,USER_RIGHT_ACCUM,5.8,9.81,5.75
32.35,-3.0698,-4.2119,-241.33,0.542,0.902,USER_RIGHT_ACCUM,6.4,9.81,6.5
32.4,-3.0376,-4.1557,-238.11,0.7063,1.2616,USER_RIGHT_ACCUM,7,9.81,7
32.45,-2.9967,-4.0816,-233.86,0.885,1.6158,USER_RIGHT_ACCUM,7.6,9.81,7.5
32.5,-2.9464,-3.9899,-228.6,1.0787,1.9638,USER_RIGHT_ACCUM,8.2,9.81,8.25
32.55,-2.8859,-3.881,-222.36,1.2872,2.3037,USER_RIGHT_ACCUM,8.8,9.81,8.75
32.6,-2.8145,-3.7553,-215.16,1.5096,2.6318,USER_RIGHT_ACCUM,9.4,9.81,9.5
32.65,-2.7316,-3.6137,-207.05,1.7436,2.9418,USER_RIGHT_ACCUM,10,9.81,10
32.7,-2.6367,-3.4573,-198.09,1.9856,3.2242,USER_RIGHT_ACCUM,10.6,9.81,10.5
32.75,-2.5295,-3.288,-188.39,2.2304,3.4664,USER_RIGHT_ACCUM,11.2,9.81,11.25
32.8,-2.4101,-3.1081,-178.08,2.4721,3.6538,USER_RIGHT_ACCUM,11.8,9.81,11.75
32.85,-2.2788,-2.9209,-167.36,2.7054,3.772,USER_RIGHT_ACCUM,12.4,9.81,12.5
32.9,-2.1361,-2.7302,-156.43,2.9272,3.8106,USER_RIGHT_ACCUM,13,9.81,13
32.95,-1.9827,-2.5401,-145.53,3.1376,3.7658,USER_RIGHT_ACCUM,13.6,9.81,13.5
33,-1.8189,-2.3546,-134.91,3.3405,3.641,USER_RIGHT_ACCUM,14.2,9.81,14.25
33.05,-1.6449,-2.1776,-124.77,3.5421,3.4448,USER_RIGHT_ACCUM,14.8,9.81,14.75
33.1,-1.4607,-2.0123,-115.29,3.7493,3.1879,USER_RIGHT_ACCUM,15.4,9.81,15.5
33.15,-1.2657,-1.8614,-106.65,3.9678,2.8811,USER_RIGHT_ACCUM,16,9.81,16
33.2,-1.0593,-1.7271,-98.95,4.2018,2.534,USER_RIGHT_ACCUM,16.6,9.81,16.5
33.25,-0.8406,-1.6112,-92.32,4.4533,2.1548,USER_RIGHT_ACCUM,17.2,9.81,17.25
33.3,-0.6087,-1.5152,-86.81,4.7225,1.7509,USER_RIGHT_ACCUM,17.8,9.81,17.75
33.35,-0.3627,-1.44,-82.5,5.0082,1.3289,USER_RIGHT_ACCUM,18.4,9.81,18.5
33.4,-0.102,-1.3863,-79.43,5.3084,0.8952,USER_RIGHT_ACCUM,19,9.81,19
33.45,0.1742,-1.3546,-77.61,5.6205,0.4558,USER_RIGHT_ACCUM,19.6,9.81,19.5
33.5,0.4663,-1.345,-77.06,5.9416,0.0165,USER_RIGHT_ACCUM,20.2,9.81,20.25
33.55,0.7748,-1.3573,-77.77,6.2688,-0.4167,USER_RIGHT_ACCUM,20.8,9.81,20.75
33.6,1.0998,-1.3909,-79.69,6.5995,-0.8378,USER_RIGHT_ACCUM,21.4,9.81,21.5
33.65,1.4266,-1.4432,-82.69,6.4377,-1.1738,NONE,0,9.81,0
33.7,1.7452,-1.5122,-86.64,6.2749,-1.5039,NONE,0,9.81,0
33.75,2.0555,-1.5976,-91.53,6.1096,-1.828,NONE,0,9.81,0
33.8,2.3574,-1.699,-97.35,5.9403,-2.1454,NONE,0,9.81,0
33.85,2.6507,-1.8162,-104.06,5.7661,-2.4543,NONE,0,9.81,0
33.9,2.935,-1.9485,-111.64,5.5867,-2.7518,NONE,0,9.81,0
33.95,3.1249,-2.0953,-120.05,-0.0098,-3.0332,NONE,0,9.81,0
34,3.1228,-2.2555,-129.23,-0.063,-3.2919,NONE,0,9.81,0
34.05,3.118,-2.4278,-139.1,-0.1188,-3.5183,NONE,0,9.81,0
34.1,3.1104,-2.6101,-149.55,-0.1722,-3.7005,NONE,0,9.81,0
34.15,3.1004,-2.7998,-160.42,-0.2167,-3.8241,NONE,0,9.81,0
34.2,3.0887,-2.9935,-171.51,-0.246,-3.8754,NONE,0,9.81,0
34.25,3.076,-3.1873,-182.62,-0.2557,-3.8446,NONE,0,9.81,0
34.3,3.0635,-3.377,-193.49,-0.2446,-3.7293,NONE,0,9.81,0
34.35,3.0521,-3.5586,-203.89,-0.2156,-3.5358,NONE,0,9.81,0
34.4,3.0425,-3.7284,-213.62,-0.1747,-3.2771,NONE,0,9.81,0
34.45,3.0351,-3.8838,-222.52,-0.1286,-2.9692,NONE,0,9.81,0
34.5,3.0301,-4.0226,-230.48,-0.0831,-2.6275,NONE,0,9.81,0
34.55,3.0272,-4.1436,-237.41,-0.0425,-2.2645,NONE,0,9.81,0
34.6,3.0261,-4.2461,-243.28,-0.009,-1.89,NONE,0,9.81,0
34.65,3.0264,-4.3296,-248.07,0.0169,-1.5108,NONE,0,9.81,0
34.7,3.0278,-4.394,-251.76,0.0358,-1.1319,NONE,0,9.81,0
34.75,3.0301,-4.4396,-254.37,0.0489,-0.7564,NONE,0,9.81,0
34.8,3.0328,-4.4664,-255.91,0.0579,-0.3866,NONE,0,9.81,0
34.85,3.0359,-4.4748,-256.39,0.0646,-0.0241,NONE,0,9.81,0
34.9,3.0393,-4.4653,-255.85,0.0707,0.3301,NONE,0,9.81,0
34.95,3.0431,-4.4383,-254.3,0.0778,0.675,NONE,0,9.81,0
